3068bp10,0.45
3068bps1,0.45
3068bp17,0.45
3068bp18,0.45
3068bp22,0.45
3068bp23,0.45
3068bp50,0.45
3068bp51,0.45
3068bp52,0.45
3068bp57,0.45
3068bp65,0.45
3068bp66,0.45
3068bp67,0.45
3068p68,0.45
3068bp81,0.45
3068bp87,0.45
3068bp16,0.45
3068bp06,0.45
3069,0.23
3069bp01,0.26
3069bp05,0.26
3069bp06,0.26
3069bp07,0.26
3069bp09,0.26
3069bps1,0.26
3069p12,0.26
3069bp13,0.26
3069bp15,0.26
3069bp21,0.26
3069bp25,0.26
3069p30,0.26
3069bp52,0.26
3069bp68,0.26
3070,0.15
3070bpc2,0.13
3070bp06,0.13
309p01,84.6
31,0.9
3127,0.5
313,0.14
3134,0.4
3137,2.61
3137c01,2.44
314,1.42
3144,0.74
3145,1.55
3149,1.2
3149c01,2.73
3176,0.8
3183,0.86
3184,0.81
3185,1.19
3186,1.06
3187,0.72
3188,1.13
3189,1.13
3192,1.88
3193,1.88
3194,3.3
3195,3.3
32bc01,1.28
32000,0.73
32001,1.5
32002,0.11
32007,2.38
32009,3.46
32013,0.46
32014,0.66
32015,0.69
32016,0.67
32017,0.58
32018,4.92
32028,0.44
32034,0.68
32039,0.32
32054,0.33
32056,0.73
32059,3
32062,0.26
32063,0.8
32064,0.88
32065,0.9
32068,0.71
32069,1.25
32073,0.66
32109,14.67
32124,0.86
32138,0.96
32137,2.33
32140,1.43
32165,4.41
32166,3
32177,2.7
3218,1.48
32185,2.8
32187,0.5
32188,6.25
32189,6.25
32190,3.2
32191,3.2
32198,0.75
32199,0.92
32200,1
32201,1.19
32202,1.36
32235,1.5
3231,11
32310,3.5
32348,2
3297,2.57
3297p01,2.57
3297p02,2.57
3297p03,2.57
3298,1.33
3298p10,1.33
3298p17,1.33
3298p18,1.33
3298p20,1.33
3298p21,1.33
3298p54,1.33
3298p55,1.33
3298p56,1.33
3298p68,1.33
3298p90,1.33
3299,1.1
33bc01,1.28
3300,0.54
33062,2.33
3307,2.87
3308,3.83
3315,1.64
3317,0.75
3324,2.29
3324c01,3.85
33303,1.38
fabef1,7.1
4231,6.35
3334,37.27
3358,1.3
3359,0.95
3403,2.28
3404,2.28
3433,3.2
3436,2.72
3455,1.71
3456,11
3460,1.36
3461,2
3462,1.06
3464,0.25
3470,9.4
3471,6.7
3474,2.6
3475,2.02
3479,1.19
3480,0.34
3481,1.12
3482,0.88
3483,1.23
3491,1.6
3497,19.95
35,3
3579,1.79
3581,0.83
3582,0.4
3585,6.45
3586,6.45
3587,2
3596,1.47
3596p01,1.47
3597,1.4
36,6
3612,0.47
3613,0.43
3622,1.24
3622p02,1.32
3623,0.53
3624,0.41
3626a,0.57
3626b,0.54
3626bp01,0.56
3626bp02,0.54
3626bp03,0.54
